2025-05-02 10:53:52,199 | INFO | [START] Flight data ingestion pipeline
2025-05-02 10:53:52,899 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:53,256 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:53,684 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:54,084 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:54,480 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:54,835 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:55,174 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:55,721 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:56,132 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:56,477 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:57,169 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:57,564 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
2025-05-02 10:53:57,787 | ERROR | Failed to fetch data: 403 - {"error":{"code":"function_access_restricted","message":"Your current subscription plan does not support this API function."}}
